ID_USER,PRODUCTION,CONSUME,CONSUME_OTHERS,VOLUME_USER,DENSITY_USER,ROL_USER,ID_FILE,SIZE_FILE,TOPIC_ID,VOLUME_TOPIC,DENSITY_TOPIC,ROL_TOPIC
1, 0.011119759813188036, 0.0, 0.23351495607694875, 1764, 9.966666668653488, Gamma, 100, 4, 17, 5167328, 47838.2333265692, Alpha
2, 0.0, 0.022239519626376072, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
3, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
4, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
5, 0.0, 0.033359279439564106, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
6, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
7, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
8, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
9, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
10, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
11, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
12, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
13, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
14, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
15, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
16, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
17, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
18, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
19, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 100, 4, 17, 5167328, 47838.2333265692, Alpha
20, 0.011119759813188036, 0.0, 0.3780718336483932, 4624, 28.849999830126762, Gamma, 21, 4, 17, 5167328, 47838.2333265692, Alpha
21, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
22, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
23, 0.0, 0.055598799065940174, 0.0, 0, 0.0, null, 8, 5, 2, 7498850, 46620.733298912644, Alpha
23, 0.0, 0.055598799065940174, 0.0, 0, 0.0, null, 60, 3, 19, 264872, 7873.866634622216, Gamma
23, 0.0, 0.055598799065940174, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
24, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
25, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
26, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
27, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
28, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
29, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
30, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
31, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
32, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
33, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
34, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
35, 0.0, 0.011119759813188036, 0.0, 0, 0.0, null, 21, 4, 17, 5167328, 47838.2333265692, Alpha
