ID_USER, PRODUCTION, CONSUME, CONSUME_OTHERS, VOLUME_USER, DENSITY_USER, ROL_USER, ID_FILE, SIZE_FILE, TOPIC_ID, VOLUME_TOPIC, DENSITY_TOPIC, ROL_TOPIC
29, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
30, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
31, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
32, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
33, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
34, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
35, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
36, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
36, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 23, 6, 12, 33670104, 621071.7335177362, Beta
37, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
38, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
39, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
40, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
41, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
42, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
43, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
44, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
45, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
46, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
47, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
48, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
49, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
50, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
51, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
52, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
53, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
54, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
55, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
56, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
57, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
58, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
59, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
60, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
61, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
62, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
63, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
64, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
65, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
66, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
67, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
68, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
69, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
70, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
71, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
71, 0.0, 0.008411136344520145, 0.0, 0, 0.0, null, 23, 6, 12, 33670104, 621071.7335177362, Beta
72, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
73, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
74, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
75, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
76, 0.0, 0.01682227268904029, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
76, 0.0, 0.01682227268904029, 0.0, 0, 0.0, null, 23, 6, 12, 33670104, 621071.7335177362, Beta
76, 0.0, 0.01682227268904029, 0.0, 0, 0.0, null, 249, 7, 19, 12072698, 184549.45004862547, Alpha
77, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
78, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
79, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
80, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
81, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
82, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
83, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
84, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
85, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
86, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
87, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
88, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
89, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
90, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
91, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
92, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
93, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
94, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
95, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
96, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
97, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
98, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
99, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
100, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
101, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
102, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
103, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
104, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
105, 0.0, 0.004205568172260072, 0.0, 0, 0.0, null, 330, 2, 2, 8456427, 117043.1333695054, Alpha
